Certifications,10th Mark,12th Mark,college mark,hobbies,Daily_study_time,Prefer_study_time,Exp_salary,Interest,Career_basedon_degree,Stress Level ,Financial Status
Yes,50,50,50,Cinema,60,Night,10000,Yes,75,Bad,good
No,45,45,50,Sports,240,Night,10,No,75,fabulous,good
Yes,67,54,86,Cinema,60,Morning,30000,Yes,100,Good,good
Yes,79,62,60,Cinema,120,Morning,25000,Yes,75,Good,good
No,60,50,55,Sports,120,Anytime,20000,Yes,75,Bad,Bad
Yes,50,50,50,Reading books,120,Anytime,50000,Yes,75,Bad,good
Yes,80,70,70,Cinema,120,Anytime,15000,Yes,75,Bad,Bad
Yes,96,92,80,Cinema,240,Morning,10000,Yes,75,Good,good
No,76,83,70,Cinema,60,Morning,15000,Yes,50,Good,Bad
Yes,55,50,60,Sports,30,Morning,13000,Yes,50,Good,Bad
Yes,89,79,70,Sports,60,Morning,10000,Yes,75,Bad,Bad
Yes,95.6,86,85,Cinema,120,Anytime,13000,Yes,75,Good,good
Yes,60,60,60,Sports,180,Night,15000,Yes,50,Good,good
No,81,80,70,Cinema,60,Night,20000,Yes,50,Good,Fabulous
Yes,84,76,70,Video Games,60,Anytime,15000,Yes,75,Bad,Bad
Yes,80,60,70,Sports,120,Night,15,Yes,75,Bad,good
No,75,65,75,Cinema,120,Morning,22,Yes,75,Good,good
Yes,90.4,80,80,Cinema,120,Anytime,15000,Yes,75,Good,good
No,85,75,70,Sports,300,Anytime,12000,Yes,75,Good,Bad
Yes,93.8,83.5,100,Reading books,120,Morning,15000,Yes,75,Good,good
No,78,75,90,Sports,180,Anytime,15000,Yes,100,Good,good
Yes,75,85,90,Cinema,180,Anytime,20000,Yes,75,Good,good
Yes,85,74,75,Cinema,30,Anytime,20000,Yes,75,Awful,good
Yes,88,85,90,Sports,60,Morning,20000,Yes,75,Good,good
No,90,73,80,Cinema,60,Morning,20000,Yes,100,Bad,Bad
Yes,85,80,80,Cinema,60,Anytime,20000,Yes,100,Awful,Bad
Yes,83,73,75,Cinema,30,Morning,20000,Yes,75,Good,good
Yes,85,80,60,Sports,60,Night,100,Yes,75,Good,Bad
Yes,82,73,80,Cinema,30,Anytime,16000,Yes,50,fabulous,Bad
Yes,97,80,100,Reading books,240,Morning,15000,Yes,100,Good,good
Yes,80,89,95,Reading books,180,Morning,15000,Yes,100,Good,good
Yes,93,85,90,Reading books,120,Night,15000,Yes,75,Good,good
Yes,55,57,60,Sports,60,Anytime,17000,Yes,25,Awful,Bad
Yes,75,75,65,Sports,120,Anytime,500,Yes,100,Good,good
No,60,70,70,Sports,120,Anytime,15000,Yes,75,Good,Bad
Yes,72,67,65,Video Games,60,Morning,7000,Yes,50,Bad,Bad
Yes,72,70,76,Cinema,180,Anytime,25000,Yes,75,Good,good
Yes,90,75,70,Cinema,60,Night,20000,Yes,50,Bad,good
Yes,85,74,75,Cinema,30,Anytime,20000,Yes,75,Awful,good
No,45,45,50,Sports,240,Night,10,No,75,fabulous,good
